Time Stamp,Name,Load
01/01/2004 02:27:17,HUD VL,942
01/01/2004 02:27:17,MHK VL,551
01/01/2004 02:27:17,MILLWD,182
01/01/2004 02:27:17,N.Y.C._LONGIL,6269
01/01/2004 02:27:17,NORTH,617
01/01/2004 02:27:17,WEST,1431
01/01/2004 02:32:17,CAPITL,868
01/01/2004 02:32:17,CENTRL,1475
01/01/2004 02:32:17,DUNWOD,528
01/01/2004 02:32:17,GENESE,835
01/01/2004 02:32:17,HUD VL,950
01/01/2004 02:32:17,MHK VL,541
01/01/2004 02:32:17,MILLWD,181
01/01/2004 02:32:17,N.Y.C._LONGIL,6269
01/01/2004 02:32:17,NORTH,617
01/01/2004 02:32:17,WEST,1432
01/01/2004 02:33:47,CAPITL,871
01/01/2004 02:33:47,CENTRL,1450
01/01/2004 02:33:47,DUNWOD,530
01/01/2004 02:33:47,GENESE,834
01/01/2004 02:33:47,HUD VL,944
01/01/2004 02:33:47,MHK VL,541
01/01/2004 02:33:47,MILLWD,183
01/01/2004 02:33:47,N.Y.C._LONGIL,6251
01/01/2004 02:33:47,NORTH,622
01/01/2004 02:33:47,WEST,1438
01/01/2004 02:38:47,CAPITL,854
01/01/2004 02:38:47,CENTRL,1468
01/01/2004 02:38:47,DUNWOD,531
01/01/2004 02:38:47,GENESE,824
01/01/2004 02:38:47,HUD VL,943
01/01/2004 02:38:47,MHK VL,530
01/01/2004 02:38:47,MILLWD,182
01/01/2004 02:38:47,N.Y.C._LONGIL,6218
01/01/2004 02:38:47,NORTH,619
01/01/2004 02:38:47,WEST,1392
01/01/2004 02:43:47,CAPITL,858
01/01/2004 02:43:47,CENTRL,1463
01/01/2004 02:43:47,DUNWOD,525
01/01/2004 02:43:47,GENESE,821
01/01/2004 02:43:47,HUD VL,936
01/01/2004 02:43:47,MHK VL,529
01/01/2004 02:43:47,MILLWD,180
01/01/2004 02:43:47,N.Y.C._LONGIL,6221
01/01/2004 02:43:47,NORTH,626
01/01/2004 02:43:47,WEST,1443
01/01/2004 02:48:47,CAPITL,879
01/01/2004 02:48:47,CENTRL,1440
01/01/2004 02:48:47,DUNWOD,530
01/01/2004 02:48:47,GENESE,823
01/01/2004 02:48:47,HUD VL,920
01/01/2004 02:48:47,MHK VL,527
01/01/2004 02:48:47,MILLWD,185
01/01/2004 02:48:47,N.Y.C._LONGIL,6166
01/01/2004 02:48:47,NORTH,628
01/01/2004 02:48:47,WEST,1425
01/01/2004 02:53:47,CAPITL,883
01/01/2004 02:53:47,CENTRL,1441
01/01/2004 02:53:47,DUNWOD,526
01/01/2004 02:53:47,GENESE,817
01/01/2004 02:53:47,HUD VL,927
01/01/2004 02:53:47,MHK VL,524
01/01/2004 02:53:47,MILLWD,174
01/01/2004 02:53:47,N.Y.C._LONGIL,6155
01/01/2004 02:53:47,NORTH,623
01/01/2004 02:53:47,WEST,1413
01/01/2004 02:55:17,CAPITL,853
01/01/2004 02:55:17,CENTRL,1447
01/01/2004 02:55:17,DUNWOD,519
01/01/2004 02:55:17,GENESE,822
01/01/2004 02:55:17,HUD VL,940
01/01/2004 02:55:17,MHK VL,532
01/01/2004 02:55:17,MILLWD,179
01/01/2004 02:55:17,N.Y.C._LONGIL,6147
01/01/2004 02:55:17,NORTH,617
01/01/2004 02:55:17,WEST,1392
01/01/2004 03:00:00,CAPITL,861
01/01/2004 03:00:00,CENTRL,1440
01/01/2004 03:00:00,DUNWOD,517
01/01/2004 03:00:00,GENESE,821
01/01/2004 03:00:00,HUD VL,927
01/01/2004 03:00:00,MHK VL,525
01/01/2004 03:00:00,MILLWD,183
01/01/2004 03:00:00,N.Y.C._LONGIL,6130
01/01/2004 03:00:00,NORTH,618
01/01/2004 03:00:00,WEST,1404
01/01/2004 03:00:47,CAPITL,864
